date,daily_total_pnl,daily_avg_pnl,daily_pnl_volatility,daily_trade_count,daily_volume,daily_avg_trade_size,daily_avg_leverage,daily_max_leverage,daily_winning_trades,daily_win_rate,daily_avg_abs_pnl,value_first,classification_first,risk_adjusted_pnl,date_dt,sentiment_lag1,sentiment_lag2,sentiment_change,next_day_pnl,next_day_volume
2023-12-05,0.0,0.0,0.0,9,50005.83,5556.203333333334,192.2224232254362,200.0,0,0.0,0.0,75.0,Extreme Greed,0.0,2023-12-05,63.0,,12.0,-205.43473700000007,113203.35
2023-12-14,-205.43473700000007,-18.675885181818188,179.66353383090035,11,113203.35,10291.213636363636,104.99109021200546,200.0,4,0.36363636363636365,77.18468390909092,72.0,Greed,-1.1371123582265659,2023-12-14,75.0,63.0,-3.0,-24.632033999999997,10609.95
2023-12-15,-24.632033999999997,-12.316016999999999,4.474304424985184,2,10609.95,5304.975,2.4280066377871266,2.981996974281392,0,0.0,12.316016999999999,70.0,Greed,-4.49957329511624,2023-12-15,72.0,75.0,-2.0,0.0,15348.77
2023-12-16,0.0,0.0,0.0,3,15348.77,5116.256666666667,0.31505813366870644,0.3807693572250534,0,0.0,0.0,67.0,Greed,0.0,2023-12-16,70.0,72.0,-3.0,304.982785,116278.02
2023-12-17,304.982785,21.78448464285714,43.51261683426808,14,116278.02,8305.572857142857,25.65579161787832,200.0,7,0.5,25.31667207142857,73.0,Greed,6.851603133905368,2023-12-17,67.0,70.0,6.0,0.0,31164.179999999997
2023-12-18,0.0,0.0,0.0,2,31164.179999999997,15582.089999999998,200.0,200.0,0,0.0,0.0,65.0,Greed,0.0,2023-12-18,73.0,67.0,-8.0,1000.5386120000001,91602.41
2023-12-19,1000.5386120000001,66.70257413333334,183.73537011741135,15,91602.41,6106.827333333334,31.494586084025713,200.0,10,0.6666666666666666,66.70257413333334,73.0,Greed,5.416064131974795,2023-12-19,65.0,73.0,8.0,162.732282,141636.79
2023-12-20,162.732282,9.040682333333333,21.3481314287044,18,141636.79,7868.710555555556,3.9890564228533787,11.98566176470588,8,0.4444444444444444,9.040682333333333,74.0,Greed,7.28169522893459,2023-12-20,73.0,65.0,1.0,537.211402,125233.97
2023-12-21,537.211402,10.963498000000001,20.811624735703514,49,125233.97,2555.795306122449,35.25388376272631,200.0,26,0.5306122448979592,10.970238897959183,70.0,Greed,24.62959126197679,2023-12-21,74.0,73.0,-4.0,141.832675,88874.28
2023-12-22,141.832675,14.1832675,40.92671758278208,10,88874.28,8887.428,152.13576046674024,200.0,2,0.2,14.1832675,74.0,Greed,3.3828709514394704,2023-12-22,70.0,74.0,4.0,146.936704,78438.25
2023-12-23,146.936704,11.302823384615383,11.478402785910806,13,78438.25,6033.711538461538,1.9400318546802822,12.137000345582305,8,0.6153846153846154,11.302823384615383,70.0,Greed,11.775281381837123,2023-12-23,74.0,70.0,-4.0,1008.619956,402954.94
2023-12-24,1008.619956,25.862050153846155,52.267012077476366,39,402954.94,10332.177948717948,70.25401866416563,200.0,15,0.38461538461538464,26.35323169230769,71.0,Greed,18.935170505395945,2023-12-24,70.0,74.0,1.0,-245.081348,59948.51
2023-12-25,-245.081348,-81.69378266666666,141.49778224115633,3,59948.51,19982.836666666666,200.0,200.0,0,0.0,81.69378266666666,73.0,Greed,-1.719895875889747,2023-12-25,71.0,70.0,2.0,-704.8892269999999,171411.06
