Cluster,Sentiments,Total Trades,Avg PnL,Win Rate (%),Avg Leverage,Negative Days (%),Sharpe-like
0,"Extreme Fear, Neutral",59086,34.39107274210473,38.74352638526893,24.95190514370498,18.51851851851852,0.04305652819528057
1,Extreme Greed,39992,67.89286133909283,46.49429885977195,22.211524925715846,7.017543859649122,0.08853724087449491
2,"Fear, Greed",112140,49.11079645615302,40.464597824148385,31.15459531613253,12.323943661971832,0.048130086796913836
