classification,avg_leverage,avg_pnl,total_pnl,avg_volume,win_rate,cluster
Extreme Fear,20.05797770211585,34.53786207897196,739110.24849,5349.7318429906545,0.370607476635514,0
Extreme Greed,22.21152492571585,67.89286133909282,2715171.310673,3112.2515645629123,0.46494298859771954,1
Fear,27.941140629585643,54.2903996254993,3357155.441642,7816.109930785776,0.42076750165758364,2
Greed,35.163193147785,42.74355948851957,2150129.272951,5736.884375086974,0.38482794266743536,2
Neutral,27.73904926369451,34.30771839807886,1292920.67555,4782.732661465797,0.3969909250119408,0
