classification,Closed PnL_count,Closed PnL_sum,Closed PnL_mean,Closed PnL_median,Closed PnL_std,Size USD_sum,Size USD_mean,Size USD_median,approx_leverage_mean,approx_leverage_median,Timestamp IST_min,Timestamp IST_max
Extreme Fear,21400,739110.24849,34.53786207897196,0.0,1136.0560914312027,114484261.44,5349.7318429906545,766.15,20.05797770211585,0.15061649184011805,2024-08-06 00:51:00,2025-04-09 23:57:00
Extreme Greed,39992,2715171.310673,67.89286133909282,0.0,766.8282935916445,124465164.57,3112.2515645629123,500.05,22.21152492571585,0.1375026587573559,2023-12-05 03:11:00,2025-01-31 23:32:00
Fear,61837,3357155.441642,54.2903996254993,0.0,935.3554378356772,483324789.79,7816.109930785776,735.96,27.941140629585643,0.17889940005761584,2024-06-25 01:50:00,2025-04-21 23:24:00
Greed,50303,2150129.272951,42.74355948851957,0.0,1116.028389757626,288582494.72,5736.884375086974,555.0,35.163193147785,0.21824451605013506,2023-05-01 01:06:00,2025-04-30 23:52:00
Neutral,37686,1292920.67555,34.30771839807886,0.0,517.1222197292019,180242063.08,4782.732661465797,547.655,27.73904926369451,0.20967021443925968,2024-01-15 09:40:00,2025-05-01 12:13:00
